cluser_label,Treatment,sample_size,mean_p_pre,mean_p_post,mean_delta
0,No Program,7215,0.09964649728786422,0.11503059746800114,0.015384100180136903
0,Wealth Accumulator Program,10822,0.1014401645858443,0.0808453806600589,-0.020594783925785384
1,Engage & Elevate,31732,0.31199758715713694,0.25583021001902284,-0.05616737713811408
1,No Program,21154,0.31316602478475114,0.32802730564748744,0.014861280862736354
2,No Program,18885,0.03887854592156225,0.05390332368376307,0.015024777762200821
2,Starter Growth Plan,28328,0.038653072448066664,0.03713408486082999,-0.001518987587236675
3,No Program,10101,0.42884820731406864,0.4369770111940416,0.008128803879972953
3,Reconnect & Reward,15151,0.42961548080903006,0.3548883754962036,-0.0747271053128265
4,No Program,8658,0.17914271129252493,0.2022780355460981,0.023135324253573158
4,Premium Balance Rewards,12988,0.18166738526466053,0.15795415701510404,-0.023713228249556476
