iter	Passed	Remaining
0	71	7115
1	134	6598
2	225	7287
3	294	7066
4	363	6913
5	430	6739
6	503	6686
7	556	6394
8	630	6370
9	680	6127
10	732	5924
11	770	5651
12	854	5719
13	913	5608
14	965	5472
15	1017	5341
16	1070	5224
17	1129	5145
18	1172	4999
19	1222	4888
20	1267	4766
21	1316	4667
22	1354	4533
23	1395	4419
24	1438	4316
25	1480	4212
26	1508	4078
27	1537	3954
28	1574	3854
29	1601	3736
30	1628	3624
31	1650	3506
32	1676	3404
33	1697	3294
34	1721	3196
35	1745	3103
36	1769	3013
37	1790	2921
38	1812	2834
39	1836	2754
40	1859	2676
41	1879	2595
42	1899	2517
43	1917	2440
44	1935	2365
45	1954	2294
46	1973	2225
47	1993	2159
48	2012	2095
49	2034	2034
50	2053	1973
51	2069	1910
52	2088	1852
53	2113	1800
54	2128	1741
55	2142	1683
56	2163	1632
57	2179	1578
58	2196	1526
59	2209	1473
60	2222	1420
61	2237	1371
62	2248	1320
63	2261	1272
64	2274	1224
65	2286	1177
66	2296	1131
67	2307	1086
68	2320	1042
69	2331	999
70	2343	957
71	2354	915
72	2365	874
73	2376	835
74	2387	795
75	2397	757
76	2408	719
77	2418	682
78	2428	645
79	2439	609
80	2449	574
81	2459	539
82	2470	506
83	2481	472
84	2493	439
85	2505	407
86	2516	375
87	2529	344
88	2539	313
89	2548	283
90	2557	252
91	2566	223
92	2575	193
93	2587	165
94	2599	136
95	2610	108
96	2619	81
97	2630	53
98	2641	26
99	2649	0
0
9	4661	0
26	62
99	6250	0
